full_name,id_Player,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Marcos Alonso,Mar-662,30,662342400,33235,Premier League,2018/2019,Defender,Chelsea,2761,1338,1423,Spain,31,15,16,2,1,1,4,3,1,0,0,14,8,6,28,9,19,6,0,0.2,0.13,0.07,0.07,0.06,1381,0.91,99,89,460,690,0.2,191,112,22,10
Marcus Bettinelli,Mar-706,28,706665600,33748,Premier League,2018/2019,Goalkeeper,Fulham,630,270,360,England,7,3,4,0,0,0,0,0,0,0,0,0,0,0,19,7,12,1,0,0,0,0,0,0,0,2.71,33,90,630,0,0.14,296,283,174,14
Marcus Rashford,Mar-878,23,878256000,35734,Premier League,2018/2019,Forward,Manchester United,2362,1293,1069,England,33,17,16,10,4,6,6,3,3,0,0,6,2,4,34,17,17,4,1,0.61,0.23,0.38,0.28,0.51,236,1.3,69,72,472,394,0.19,41,52,-1,3
Mario Lemina,Mar-746,27,746841600,34213,Premier League,2018/2019,Midfielder,Southampton,1615,763,852,Gabon,21,9,12,1,0,1,1,0,1,0,0,4,2,2,32,12,20,5,0,0.11,0.06,0.06,0,0.11,1615,1.78,50,77,323,1615,0.28,211,195,-1,10
Mark Noble,Mar-547,33,547430400,31905,Premier League,2018/2019,Midfielder,West Ham United,2308,1147,1161,England,31,15,16,5,2,3,5,4,1,4,0,7,4,3,29,12,17,7,1,0.39,0.19,0.19,0.16,0.23,462,1.13,80,74,289,462,0.31,96,70,-1,5
Mark Travers,Mar-926,21,926985600,36298,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,180,90,90,Republic of Ireland,2,1,1,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,2.5,36,90,0,0,0,-1,-1,-1,28
Marko Arnautović,Mar-608,31,608947200,32617,Premier League,2018/2019,Forward,West Ham United,2000,1083,917,Austria,28,15,13,10,7,3,4,1,3,1,0,5,3,2,31,17,14,3,0,0.63,0.18,0.45,0.58,0.29,200,1.4,65,71,667,500,0.14,26,76,-1,1
Markus Suttner,Mar-545,33,545529600,31883,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Marouane Fellaini,Mar-564,33,564537600,32103,Premier League,2018/2019,Midfielder,Manchester United,744,217,527,Belgium,14,6,8,0,0,0,1,0,1,0,0,2,1,1,13,2,11,1,0,0.12,0.12,0,0,0,0,1.57,57,53,744,744,0.12,341,129,-1,22
Martin Dúbravka,Mar-600,32,600825600,32523,Premier League,2018/2019,Goalkeeper,Newcastle United,3420,1710,1710,Slovakia,38,19,19,0,0,0,0,0,0,0,0,11,5,6,44,23,21,1,0,0,0,0,0,0,0,1.16,78,90,3420,0,0.03,345,317,58,18
Martin Kelly,Mar-641,30,641174400,32990,Premier League,2018/2019,Defender,Crystal Palace,1110,660,450,England,13,8,5,0,0,0,0,0,0,0,0,3,2,1,18,11,7,2,0,0,0,0,0,0,0,1.46,62,85,555,0,0.16,326,350,110,18
Martín Montoya,Mar-671,29,671587200,33342,Premier League,2018/2019,Defender,Brighton & Hove Albion,2166,1176,990,Spain,25,14,11,0,0,0,1,0,1,0,0,3,3,0,38,18,20,4,0,0.04,0.04,0,0,0,0,1.58,57,87,542,2166,0.17,294,229,128,13
Mason Greenwood,Mas-100,19,1001894400,37165,Premier League,2018/2019,Midfielder,Manchester United,115,105,10,England,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.57,58,38,0,0,0,-1,-1,-1,27
Mason Holgate,Mas-845,24,845942400,35360,Premier League,2018/2019,Defender,Everton,407,270,137,England,5,3,2,0,0,0,0,0,0,0,0,0,0,0,9,5,4,1,0,0,0,0,0,0,0,1.99,45,81,407,0,0.22,414,390,160,16
Matěj Vydra,Mat-704,28,704678400,33725,Premier League,2018/2019,Forward,Burnley,311,91,220,Czech Republic,13,6,7,1,1,0,1,0,1,0,0,1,1,0,4,0,4,1,0,0.58,0.29,0.29,0.99,0,311,1.16,78,24,311,311,0.29,66,23,-1,12
Mateo Kovačić,Mat-768,26,768182400,34460,Premier League,2018/2019,Midfielder,Chelsea,1743,968,775,Croatia,32,17,15,0,0,0,2,1,1,0,0,12,8,4,18,4,14,3,0,0.1,0.1,0,0,0,0,0.93,97,54,581,872,0.15,291,150,-1,20
Mathew Ryan,Mat-702,28,702691200,33702,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,1530,1530,Australia,34,17,17,0,0,0,0,0,0,0,0,6,4,2,52,25,27,2,0,0,0,0,0,0,0,1.53,59,90,1530,0,0.06,398,389,122,15
Mathias Jattah-Njie Jørgensen,Mat-640,30,640828800,32986,Premier League,2018/2019,Defender,Huddersfield Town,2148,1248,900,Denmark,24,14,10,3,1,2,1,0,1,0,0,3,2,1,37,21,16,6,0,0.17,0.04,0.13,0.07,0.2,716,1.55,58,90,358,2148,0.25,129,235,125,2
Matt Butcher,Mat-863,23,863568000,35564,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Matt Doherty,Mat-695,29,695520000,33619,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3147,1557,1590,Republic of Ireland,38,19,19,4,1,3,5,4,1,0,0,9,7,2,38,18,20,5,0,0.26,0.14,0.11,0.06,0.17,787,1.09,83,83,629,629,0.14,155,100,46,5
Matt Ritchie,Mat-621,31,621388800,32761,Premier League,2018/2019,Midfielder,Newcastle United,2940,1557,1383,Scotland,36,19,17,2,1,1,8,2,6,1,1,11,5,6,37,21,16,9,0,0.31,0.24,0.06,0.06,0.07,1470,1.13,79,82,327,368,0.28,216,46,-1,6
Matt Targett,Mat-811,25,811382400,34960,Premier League,2018/2019,Defender,Southampton,1185,483,702,England,16,7,9,1,1,0,3,2,1,0,0,1,0,1,24,10,14,2,0,0.3,0.23,0.08,0.19,0,1185,1.82,49,74,593,395,0.15,183,51,151,11
Matteo Darmian,Mat-628,31,628560000,32844,Premier League,2018/2019,Defender,Manchester United,443,353,90,Italy,6,5,1,0,0,0,0,0,0,0,0,1,1,0,7,4,3,0,0,0,0,0,0,0,0,1.42,63,74,0,0,0,411,280,102,25
Mattéo Guendouzi Olié,Mat-924,21,924048000,36264,Premier League,2018/2019,Midfielder,Arsenal,2143,971,1172,France,33,14,19,0,0,0,0,0,0,0,0,4,3,1,28,9,19,9,0,0,0,0,0,0,0,1.18,77,65,238,0,0.38,386,405,-1,26
Matthew Connolly,Mat-559,33,559440000,32044,Premier League,2018/2019,Defender,Cardiff City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Matthew Lowton,Mat-613,31,613353600,32668,Premier League,2018/2019,Defender,Burnley,1748,810,938,England,21,9,12,0,0,0,0,0,0,0,0,4,2,2,35,16,19,7,0,0,0,0,0,0,0,1.8,50,83,250,0,0.36,378,342,150,22
Matty Daly,Mat-984,20,984182400,36960,Premier League,2018/2019,Midfielder,Huddersfield Town,73,49,24,England,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.23,73,37,0,0,0,-1,-1,-1,18
Max Harrison Sanders,Max-915,22,915408000,36164,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Max Kilman,Max-864,23,864345600,35573,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Max Meyer,Max-811,25,811382400,34960,Premier League,2018/2019,Midfielder,Crystal Palace,1414,718,696,Germany,29,18,11,1,0,1,2,0,2,0,0,8,7,1,19,5,14,3,0,0.19,0.13,0.06,0,0.13,1414,1.21,74,49,471,707,0.19,209,110,-1,8
Maxime Le Marchand,Max-624,31,624067200,32792,Premier League,2018/2019,Defender,Fulham,2251,1171,1080,France,26,14,12,0,0,0,1,1,0,0,0,4,3,1,50,23,27,5,0,0.04,0.04,0,0,0,0,2,45,87,450,2251,0.2,314,219,162,23
Maya Yoshida,May-588,32,588384000,32379,Premier League,2018/2019,Defender,Southampton,1520,800,720,Japan,17,9,8,0,0,0,1,1,0,0,0,3,1,2,27,14,13,0,0,0.06,0.06,0,0,0,0,1.6,56,89,0,1520,0,308,192,133,23
Mesut Özil,Mes-592,32,592876800,32431,Premier League,2018/2019,Midfielder,Arsenal,1741,1139,602,Germany,24,14,10,5,4,1,2,2,0,0,0,6,5,1,23,11,12,2,0,0.36,0.1,0.26,0.32,0.15,348,1.19,76,73,871,871,0.1,73,151,-1,4
Michael Keane,Mic-726,28,726710400,33980,Premier League,2018/2019,Defender,Everton,2970,1350,1620,England,33,15,18,1,0,1,2,1,1,0,0,13,8,5,37,15,22,2,0,0.09,0.06,0.03,0,0.06,2970,1.12,80,90,1485,1485,0.06,251,196,49,10
Michael Obafemi,Mic-962,20,962841600,36713,Premier League,2018/2019,Forward,Southampton,134,64,70,Republic of Ireland,6,2,4,1,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,1.34,0.67,0.67,0,1.29,134,1.34,67,22,134,134,0.67,-1,-1,-1,16
Michail Antonio,Mic-638,31,638582400,32960,Premier League,2018/2019,Midfielder,West Ham United,2099,998,1101,England,33,16,17,6,4,2,4,2,2,0,0,5,3,2,26,10,16,3,0,0.43,0.17,0.26,0.36,0.16,350,1.11,81,64,700,525,0.13,77,85,-1,4
Michel Vorm,Mic-435,37,435456000,30609,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,180,90,90,Netherlands,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,22
Michy Batshuayi,Mic-749,27,749520000,34244,Premier League,2018/2019,Forward,Crystal Palace,756,368,388,Belgium,11,6,5,5,2,3,0,0,0,0,0,3,2,1,11,7,4,0,0,0.6,0,0.6,0.49,0.7,151,1.31,69,69,0,0,0,8,307,-1,4
Miguel Ángel Almirón Rejala,Mig-760,27,760838400,34375,Premier League,2018/2019,Midfielder,Newcastle United,763,405,358,Paraguay,10,5,5,0,0,0,0,0,0,0,0,3,2,1,10,4,6,0,0,0,0,0,0,0,0,1.18,76,76,0,0,0,282,311,-1,24
Miguel Ángel Britos Cabrera,Mig-490,35,490406400,31245,Premier League,2018/2019,Defender,Watford,185,13,172,Uruguay,3,1,2,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,2.43,37,62,0,0,0,-1,-1,-1,25
Mohamed Diamé,Moh-550,33,550627200,31942,Premier League,2018/2019,Midfielder,Newcastle United,2165,960,1205,Senegal,29,13,16,0,0,0,0,0,0,0,0,9,3,6,28,13,15,3,0,0,0,0,0,0,0,1.16,77,75,722,0,0.12,348,267,-1,21
Mohamed Elneny,Moh-710,28,710812800,33796,Premier League,2018/2019,Midfielder,Arsenal,381,214,167,Egypt,8,5,3,0,0,0,0,0,0,0,0,2,2,0,4,2,2,0,0,0,0,0,0,0,0,0.94,95,48,0,0,0,388,409,-1,21
Mohamed Elyounoussi,Moh-775,26,775958400,34550,Premier League,2018/2019,Midfielder,Southampton,790,393,397,Norway,16,8,8,0,0,0,0,0,0,0,0,4,2,2,8,5,3,0,0,0,0,0,0,0,0,0.91,99,49,0,0,0,375,368,-1,26
Mohamed Salah,Moh-708,28,708566400,33770,Premier League,2018/2019,Forward,Liverpool,3262,1692,1570,Egypt,38,19,19,22,13,9,8,5,3,3,0,21,12,9,18,8,10,1,0,0.83,0.22,0.61,0.69,0.52,148,0.5,181,86,3262,408,0.03,7,57,-1,2
Morgan Gibbs-White,Mor-948,21,948931200,36552,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,647,426,221,England,26,13,13,0,0,0,1,1,0,0,0,5,5,0,9,5,4,1,0,0.14,0.14,0,0,0,0,1.25,72,25,647,647,0.14,408,107,-1,16
Morgan Schneiderlin,Mor-626,31,626486400,32820,Premier League,2018/2019,Midfielder,Everton,833,473,360,France,14,9,5,0,0,0,1,1,0,0,0,7,5,2,9,5,4,2,0,0.11,0.11,0,0,0,0,0.97,93,60,417,833,0.22,412,138,-1,20
Moussa Dembele,Mou-553,33,553392000,31974,Premier League,2018/2019,Midfielder,Tottenham Hotspur,516,161,355,Belgium,10,3,7,0,0,0,0,0,0,0,0,3,0,3,5,3,2,1,0,0,0,0,0,0,0,0.87,103,52,516,0,0.17,355,277,-1,24
Moussa Sissoko,Mou-619,31,619228800,32736,Premier League,2018/2019,Midfielder,Tottenham Hotspur,2336,1187,1149,France,29,15,14,0,0,0,3,2,1,0,0,11,6,5,26,10,16,2,0,0.12,0.12,0,0,0,0,1,90,81,1168,779,0.08,354,131,-1,25
N'Golo Kanté,N'G-670,30,670204800,33326,Premier League,2018/2019,Midfielder,Chelsea,3096,1579,1517,France,36,19,17,4,2,2,4,3,1,0,0,15,10,5,37,12,25,3,0,0.23,0.12,0.12,0.11,0.12,774,1.08,84,86,1032,774,0.09,141,126,-1,6
Naby Deco Keïta,Nab-792,26,792374400,34740,Premier League,2018/2019,Midfielder,Liverpool,1392,729,663,Guinea,25,14,11,2,1,1,1,1,0,0,0,15,10,5,7,4,3,0,0,0.19,0.06,0.13,0.12,0.14,696,0.45,199,56,0,1392,0,138,190,-1,9
Nacho Monreal,Nac-509,35,509760000,31469,Premier League,2018/2019,Defender,Arsenal,1861,781,1080,Spain,22,10,12,1,1,0,3,0,3,0,0,6,5,1,21,3,18,5,0,0.19,0.15,0.05,0.12,0,1861,1.02,89,85,372,620,0.24,222,98,37,11
Nampalys Mendy,Nam-709,28,709257600,33778,Premier League,2018/2019,Midfielder,Leicester City,2088,1006,1082,France,31,16,15,0,0,0,0,0,0,0,0,9,5,4,26,11,15,5,0,0,0,0,0,0,0,1.12,80,67,418,0,0.22,271,397,-1,18
Nathan Aké,Nat-793,26,793065600,34748,Premier League,2018/2019,Defender,AFC Bournemouth,3412,1710,1702,Netherlands,38,19,19,4,3,1,0,0,0,0,0,10,6,4,66,23,43,3,0,0.11,0,0.11,0.16,0.05,853,1.74,52,90,1137,0,0.08,150,337,148,5
Nathan Holland,Nat-898,22,898214400,35965,Premier League,2018/2019,Midfielder,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Nathan Redmond,Nat-762,27,762912000,34399,Premier League,2018/2019,Midfielder,Southampton,3276,1633,1643,England,38,19,19,6,4,2,4,2,2,0,0,7,3,4,53,22,31,3,0,0.27,0.11,0.16,0.22,0.11,546,1.46,62,86,1092,819,0.08,116,137,-1,3
Nathaniel Chalobah,Nat-787,26,787190400,34680,Premier League,2018/2019,Midfielder,Watford,266,67,199,England,9,3,6,0,0,0,0,0,0,0,0,1,1,0,5,2,3,2,0,0,0,0,0,0,0,1.69,53,30,133,0,0.68,-1,-1,-1,19
Nathaniel Clyne,Nat-670,30,670809600,33333,Premier League,2018/2019,Defender,AFC Bournemouth,1254,684,570,England,18,10,8,0,0,0,1,0,1,0,0,6,4,2,24,6,18,2,0,0.07,0.07,0,0,0,0,1.72,52,70,627,1254,0.14,392,180,146,22
Nathaniel Mendez-Laing,Nat-703,28,703296000,33709,Premier League,2018/2019,Midfielder,Cardiff City,984,442,542,England,20,9,11,4,0,4,1,1,0,1,0,6,3,3,15,8,7,0,0,0.46,0.09,0.37,0,0.66,246,1.37,66,49,0,984,0,46,159,-1,5
Neeskens Kebano,Nee-700,29,700185600,33673,Premier League,2018/2019,Midfielder,Fulham,103,74,29,Congo DR,7,5,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.87,103,15,0,0,0,-1,-1,-1,18
Neil Leonard Dula Etheridge,Nei-634,31,634348800,32911,Premier League,2018/2019,Goalkeeper,Cardiff City,3420,1710,1710,Philippines,38,19,19,0,0,0,0,0,0,0,0,10,5,5,61,34,27,2,0,0,0,0,0,0,0,1.61,56,90,1710,0,0.05,363,392,134,17
Nemanja Matić,Nem-586,32,586396800,32356,Premier League,2018/2019,Midfielder,Manchester United,2441,1051,1390,Serbia,28,12,16,1,1,0,0,0,0,0,0,6,1,5,35,14,21,8,1,0.04,0,0.04,0.09,0,2441,1.29,70,87,305,0,0.29,239,257,-1,11
Nicolas Otamendi,Nic-571,33,571622400,32185,Premier League,2018/2019,Defender,Manchester City,1233,682,551,Argentina,18,9,9,0,0,0,0,0,0,0,0,10,3,7,7,6,1,1,0,0,0,0,0,0,0,0.51,176,69,1233,0,0.07,273,385,4,16
Nikola Tavares,Nik-916,22,916531200,36177,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Nnamdi Ofoborh,Nna-941,21,941932800,36471,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Oleksandr Zinchenko,Ole-850,24,850608000,35414,Premier League,2018/2019,Midfielder,Manchester City,1153,613,540,Ukraine,14,8,6,0,0,0,3,2,1,0,0,10,6,4,4,2,2,1,0,0.23,0.23,0,0,0,0,0.31,288,82,1153,384,0.08,284,50,-1,20
Oliver Skipp,Oli-969,20,969062400,36785,Premier League,2018/2019,Midfielder,Tottenham Hotspur,216,191,25,England,8,6,2,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,-1,-1,-1,16
Olivier Giroud,Oli-528,34,528422400,31685,Premier League,2018/2019,Forward,Chelsea,832,446,386,France,27,14,13,2,1,1,4,3,1,0,0,12,7,5,4,1,3,1,0,0.65,0.43,0.22,0.2,0.23,416,0.43,208,31,832,208,0.11,86,7,-1,12
Onyinye Wilfred Ndidi,Ony-850,24,850694400,35415,Premier League,2018/2019,Midfielder,Leicester City,3299,1624,1675,Nigeria,38,19,19,2,2,0,0,0,0,0,0,10,6,4,42,18,24,8,0,0.05,0,0.05,0.11,0,1650,1.15,79,87,412,0,0.22,218,332,-1,9
Oriol Romeu,Ori-685,29,685670400,33505,Premier League,2018/2019,Midfielder,Southampton,2140,1110,1030,Spain,31,16,15,1,1,0,0,0,0,0,0,6,3,3,32,16,16,11,0,0.04,0,0.04,0.08,0,2140,1.35,67,69,195,0,0.46,244,371,-1,9
Oumar Niasse,Oum-640,30,640396800,32981,Premier League,2018/2019,Forward,Cardiff City,998,435,563,Senegal,18,8,10,0,0,0,0,0,0,0,0,3,2,1,12,5,7,0,0,0,0,0,0,0,0,1.08,83,55,0,0,0,415,388,-1,13
Pablo Zabaleta,Pab-474,36,474681600,31063,Premier League,2018/2019,Defender,West Ham United,2092,1216,876,Argentina,26,14,12,0,0,0,1,1,0,0,0,4,2,2,32,22,10,4,0,0.04,0.04,0,0,0,0,1.38,65,80,523,2092,0.17,370,223,99,23
Pape N'Diaye Souaré,Pap-644,30,644630400,33030,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,Senegal,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Pascal Groß,Pas-676,29,676944000,33404,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1878,993,885,Germany,25,13,12,3,2,1,3,1,2,1,1,3,2,1,31,16,15,1,0,0.29,0.14,0.14,0.18,0.1,626,1.49,61,75,1878,626,0.05,126,104,-1,4
Patrick van Aanholt,Pat-651,30,651888000,33114,Premier League,2018/2019,Defender,Crystal Palace,3198,1703,1495,Netherlands,36,19,17,3,2,1,2,0,2,0,0,12,7,5,41,19,22,3,0,0.14,0.06,0.08,0.11,0.06,1066,1.15,78,89,1066,1599,0.08,184,199,53,6
Paul Dummett,Pau-685,29,685843200,33507,Premier League,2018/2019,Defender,Newcastle United,1986,979,1007,Wales,26,13,13,0,0,0,0,0,0,0,0,9,3,6,27,15,12,1,0,0,0,0,0,0,0,1.22,74,76,1986,0,0.05,347,269,69,22
Paul Pogba,Pau-732,28,732153600,34043,Premier League,2018/2019,Midfielder,Manchester United,3011,1517,1494,France,35,18,17,13,10,3,9,4,5,7,3,7,2,5,41,20,21,6,0,0.66,0.27,0.39,0.59,0.18,232,1.23,73,86,502,335,0.18,37,30,-1,1
Paulo Dino Gazzaniga,Pau-694,29,694310400,33605,Premier League,2018/2019,Goalkeeper,Tottenham Hotspur,270,0,270,Argentina,3,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0.33,270,90,0,0,0,-1,-1,-1,15
Pedro Obiang,Ped-701,29,701654400,33690,Premier League,2018/2019,Midfielder,West Ham United,1121,609,512,Equatorial Guinea,24,13,11,0,0,0,1,0,1,0,0,7,4,3,17,9,8,0,0,0.08,0.08,0,0,0,0,1.36,66,47,0,1121,0,371,168,-1,22
Pedro Rodriguez,Ped-554,33,554428800,31986,Premier League,2018/2019,Midfielder,Chelsea,1780,958,822,Spain,31,15,16,8,6,2,2,2,0,0,0,11,7,4,18,7,11,2,0,0.51,0.1,0.4,0.56,0.22,223,0.91,99,57,890,890,0.1,35,144,-1,2
Peter Crouch,Pet-349,40,349660800,29616,Premier League,2018/2019,Forward,Burnley,86,56,30,England,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,86,0,1.05,-1,-1,-1,23
Petr Čech,Pet-390,38,390700800,30091,Premier League,2018/2019,Goalkeeper,Arsenal,585,315,270,Czech Republic,7,4,3,0,0,0,0,0,0,0,0,2,2,0,8,3,5,0,0,0,0,0,0,0,0,1.23,73,84,0,0,0,384,377,71,20
Phil Bardsley,Phi-488,35,488764800,31226,Premier League,2018/2019,Defender,Burnley,1672,900,772,Scotland,19,10,9,0,0,0,0,0,0,0,0,4,3,1,22,11,11,9,0,0,0,0,0,0,0,1.18,76,88,186,0,0.48,383,355,62,17
Phil Jagielka,Phi-398,38,398390400,30180,Premier League,2018/2019,Defender,Everton,329,95,234,England,7,3,4,1,1,0,0,0,0,0,0,5,3,2,2,0,2,1,1,0.27,0,0.27,0.95,0,329,0.55,165,47,165,0,0.55,71,272,9,13
Phil Jones,Phi-698,29,698630400,33655,Premier League,2018/2019,Defender,Manchester United,1263,652,611,England,18,9,9,0,0,0,1,0,1,0,0,4,0,4,16,9,7,1,0,0.07,0.07,0,0,0,0,1.14,79,70,1263,1263,0.07,299,189,51,24
Philip Billing,Phi-834,24,834451200,35227,Premier League,2018/2019,Midfielder,Huddersfield Town,2192,1106,1086,Denmark,27,13,14,2,1,1,0,0,0,0,0,5,3,2,41,17,24,7,0,0.08,0,0.08,0.08,0.08,1096,1.68,53,81,313,0,0.29,185,372,-1,4
Philip Foden,Phi-959,20,959472000,36674,Premier League,2018/2019,Midfielder,Manchester City,327,279,48,England,13,10,3,1,1,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0.28,0,0.28,0.32,0,327,0,0,25,0,0,0,67,386,-1,11
Philippe Sandler,Phi-855,24,855532800,35471,Premier League,2018/2019,Defender,Manchester City,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Pierre-Emerick Aubameyang,Pie-614,31,614131200,32677,Premier League,2018/2019,Forward,Arsenal,2731,1418,1313,Gabon,36,19,17,22,13,9,5,4,1,4,1,8,7,1,40,14,26,0,0,0.89,0.16,0.73,0.83,0.62,124,1.32,68,76,0,546,0,3,88,-1,1
Pierre-Emile Højbjerg,Pie-807,25,807580800,34916,Premier League,2018/2019,Midfielder,Southampton,2764,1416,1348,Denmark,31,16,15,4,2,2,3,2,1,0,0,4,1,3,52,23,29,10,2,0.23,0.1,0.13,0.13,0.13,691,1.69,53,89,251,921,0.36,136,148,-1,5
Rachid Ghezzal,Rac-705,28,705369600,33733,Premier League,2018/2019,Forward,Leicester City,738,455,283,Algeria,19,12,7,1,1,0,0,0,0,0,0,3,2,1,12,6,6,3,0,0.12,0,0.12,0.2,0,738,1.46,62,39,246,0,0.37,140,322,-1,12
Rafael Euclides Soares Camacho,Raf-958,20,958953600,36668,Premier League,2018/2019,Midfielder,Liverpool,0,0,0,Portugal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Raheem Sterling,Rah-786,26,786844800,34676,Premier League,2018/2019,Forward,Manchester City,2777,1256,1521,England,34,16,18,17,12,5,10,6,4,0,0,18,7,11,19,9,10,3,0,0.88,0.32,0.55,0.86,0.3,163,0.62,146,82,926,278,0.1,12,14,-1,2
Rajiv van La Parra,Raj-675,29,675993600,33393,Premier League,2018/2019,Midfielder,Huddersfield Town,407,168,239,Netherlands,5,2,3,0,0,0,0,0,0,0,0,1,1,0,6,1,5,0,0,0,0,0,0,0,0,1.33,68,81,0,0,0,335,396,-1,23
Ramadan Sobhi,Ram-853,24,853977600,35453,Premier League,2018/2019,Forward,Huddersfield Town,75,30,45,Egypt,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.2,75,19,0,0,0,-1,-1,-1,20
Raúl Alonso Jiménez Rodríguez,Ra�-673,29,673401600,33363,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3124,1648,1476,Mexico,38,19,19,13,8,5,7,4,3,2,0,9,7,2,39,20,19,4,0,0.58,0.2,0.37,0.44,0.3,240,1.12,80,82,781,446,0.12,42,63,-1,1
Rhys Healey,Rhy-786,26,786672000,34674,Premier League,2018/2019,Forward,Cardiff City,49,17,32,England,3,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.84,49,16,0,0,0,-1,-1,-1,14
Ricardo Domingos Barbosa Pereira,Ric-749,27,749865600,34248,Premier League,2018/2019,Defender,Leicester City,3125,1526,1599,Portugal,35,17,18,2,2,0,6,3,3,0,0,10,6,4,40,16,24,7,0,0.23,0.17,0.06,0.12,0,1563,1.15,78,89,446,521,0.2,214,84,52,7
Richarlison de Andrade,Ric-863,23,863222400,35560,Premier League,2018/2019,Forward,Everton,2679,1283,1396,Brazil,35,17,18,13,7,6,1,1,0,0,0,14,9,5,32,15,17,6,1,0.47,0.03,0.44,0.49,0.39,206,1.08,84,77,383,2679,0.24,28,250,-1,1
